epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00001268.1	H3K27ac	82.3193	0.9328	52.7587	0.6882
IHECRE00001270.1	H3K27ac	77.9191	0.8819	48.1253	0.6457
IHECRE00001272.1	H3K27ac	NA	NA	50.7503	0.7781
IHECRE00001273.1	H3K27ac	71.851	0.8273	52.7203	0.6741
IHECRE00001274.1	H3K27ac	NA	NA	51.3059	0.7995
IHECRE00001275.1	H3K27ac	68.0532	0.8773	48.7933	0.743
IHECRE00001277.1	H3K27ac	78.0562	0.9075	54.8786	0.7217
IHECRE00001278.1	H3K27ac	NA	NA	49.8637	0.7805
IHECRE00001279.1	H3K27ac	NA	NA	53.298	0.8112
IHECRE00001280.1	H3K27ac	NA	NA	51.3518	0.8064
IHECRE00001286.1	H3K27ac	80.1276	0.8649	52.2412	0.6976
IHECRE00001287.1	H3K27ac	NA	NA	50.0095	0.7789
IHECRE00001288.1	H3K27ac	51.8497	0.8254	37.3984	0.651
IHECRE00001289.1	H3K27ac	80.767	0.9231	55.2375	0.7403
IHECRE00001291.1	H3K27ac	NA	NA	37.4896	0.7198
IHECRE00001292.1	H3K27ac	71.3305	0.8608	48.763	0.717
IHECRE00001293.1	H3K27ac	82.2389	0.9216	53.1245	0.7243
IHECRE00001294.1	H3K27ac	NA	NA	51.466	0.7792
IHECRE00001295.1	H3K27ac	NA	NA	50.2944	0.796
IHECRE00001296.1	H3K27ac	NA	NA	55.5024	0.817
IHECRE00001297.1	H3K27ac	81.9629	0.9197	54.9026	0.8167
IHECRE00001298.1	H3K27ac	NA	NA	47.1193	0.7627
IHECRE00001300.1	H3K27ac	84.2137	0.9351	55.9087	0.752
